Survey,Year,Cruise Join ID,Cruise Number,Vessel Number,Cruise Start Date,Cruise End Date,Cruise Min Latitude (dd),Cruise Max Latitude (dd),Cruise Min Longitude (dd),Cruise Max Longitude (dd),Agency,Survey Name
AI,1980,288,198002,31,29432,29453,52.30267,54.8725,-165.228,-170.89533,USA,AI TRIENNIAL SURVEY
AI,1980,312,198001,44,29405,29448,51.23667,52.60333,-172.89,173.38333,USA/JAPAN,AI TRIENNIAL SURVEY
AI,1980,324,198001,552,29408,29528,51.32033,56.405,-165.11367,170.73183,USA/JAPAN,AI TRIENNIAL SURVEY
AI,1983,185,198304,1,30545,30563,52.24983,54.74433,-165.21333,-174.4525,USA/JAPAN,AI TRIENNIAL SURVEY
AI,1983,261,198303,21,30525,30542,51.20083,52.30867,-174.67217,177.322,USA,AI TRIENNIAL SURVEY
AI,1983,325,198301,554,30512,30621,51.23,54.81,-167.27333,170.56,USA/JAPAN,AI TRIENNIAL SURVEY
AI,1986,317,198601,66,31617,31679,51.23183,54.41883,-165.59633,172.44833,USA,AI TRIENNIAL SURVEY
AI,1986,327,198601,557,31550,31665,51.1855,54.96433,-165.02333,170.7035,USA/JAPAN,AI TRIENNIAL SURVEY
AI,1991,321,199101,83,33439,33501,51.25167,54.6625,-165.14167,170.85783,USA,AI TRIENNIAL SURVEY
AI,1991,322,199101,85,33438,33500,51.18633,54.89117,-165.10883,170.71683,USA,AI TRIENNIAL SURVEY
AI,1994,827461,199401,94,34488,34551,51.13733,54.891,-179.977,179.81333,USA,AI TRIENNIAL SURVEY
AI,1994,827462,199401,95,34488,34553,51.25283,54.68367,-179.8895,179.98667,USA,AI TRIENNIAL SURVEY
AI,1997,952492,199701,23,35592.36635,35653.51843,51.24741,54.52612,-165.5123,170.608,USA,AI TRIENNIAL SURVEY
AI,1997,958199,199701,94,35591.33733,35655.505,51.19485,54.89222,-165.2124,170.6437,USA,AI TRIENNIAL SURVEY
AI,2000,1039635,200001,23,36666.32514,36729.41831,51.25256,54.62018,-165.26421,170.7222,USA,AI BIENNIAL SURVEY
AI,2000,1039636,200001,94,36666.32619,36727.53465,51.20246,54.89195,-165.2055,170.6133,USA,AI BIENNIAL SURVEY
AI,2002,1137515,200201,57,37402,37411,52.34052,53.82133,-167.2823,-172.7455,USA,AI BIENNIAL SURVEY
AI,2002,1138955,200201,143,37419,37481,51.01304,53.31805,-169.4612,170.72301,USA,AI BIENNIAL SURVEY
AI,2002,1145916,200201,94,37393,37456,51.24673,54.4257,-165.5137,170.60809,USA,AI BIENNIAL SURVEY
AI,2004,1210975,200401,147,38144,38201,51.24701,54.47981,-179.97459,179.98268,USA,AI BIENNIAL SURVEY
AI,2004,1210976,200401,143,38144,38201,51.19891,54.41293,-179.9442,179.9655,USA,AI BIENNIAL SURVEY
AI,2006,-617,200601,147,38874.36677,38913.90215,51.27439,54.37866,179.3311,-179.159,USA,AI BIENNIAL SURVEY
AI,2006,-616,200601,143,38874.52995,38937.56135,51.19913,54.41355,179.9673,-179.96899,USA,AI BIENNIAL SURVEY
AI,2010,-656,201001,148,40338.54242,40401.40763,51.1955,54.35873,-179.96137,179.95913,USA,AI TRIENNIAL SURVEY
AI,2010,-655,201001,143,40338.69593,40400.53959,51.24793,54.41358,-179.96882,179.86617,USA,AI TRIENNIAL SURVEY
AI,2012,-677,201201,148,41069,41127,51.24792,54.37013,-179.96937,179.91068,USA,2012 Aleutian Island Bottom Trawl Survey
AI,2012,-676,201201,143,41068,41132,51.25573,54.4881,-179.94397,179.93945,USA,2012 Aleutian Island Bottom Trawl Survey
AI,2014,-692,201401,176,41801,41858,51.25118,54.42203,-179.96978,179.95678,USA,2014 Aleutian Island Bottom Trawl Survey
AI,2014,-691,201401,143,41801,41859,51.24314,54.41248,-179.96382,179.91922,USA,2014 Aleutian Island Bottom Trawl Survey
AI,2016,-710,201601,176,42528,42588,51.25646,54.47566,-179.91429,179.93998,USA,2016 Aleutian Island Bottom Trawl Survey
AI,2016,-709,201601,143,42528,42590,51.24798,54.41121,-179.92005,179.87682,USA,2016 Aleutian Island Bottom Trawl Survey
EBS_SHELF,1982,80,198203,1,30100,30143,55.00333,60.66483,-158.31667,-174.14067,USA,CRAB/GRFSH
EBS_SHELF,1982,106,198201,19,30102,30164,55.01017,62.62717,-158.92433,-177.58383,USA,CRAB/GRFSH
EBS_SHELF,1983,84,198303,1,30475,30534,55.0015,61.003,-159.5405,-176.795,USA,CRAB/GRFSH
EBS_SHELF,1983,144,198301,37,30474,30534,54.68,60.99033,-158.325,-177.55533,USA,CRAB/GRFSH
