Record Count,Loaded to Repository,Survey,Vessel Number,Cruise Number,Cruise Start Date,Cruise End Date,Cruise Min Latitude (dd),Cruise Max Latitude (dd),Cruise Min Longitude (dd),Cruise Max Longitude (dd),Agency,Survey Name,Year,Cruise Join ID
1,10/3/2016 14:02,EBS_SLOPE,57,200202,6/5/2002 0:00,7/29/2002 0:00,54.20232,60.59889,-179.6859,-165.73511,USA,2002 Bering Sea Slope Survey,2002,1129895
1,10/3/2016 14:02,EBS_SLOPE,94,200801,6/6/2008 0:00,8/6/2008 0:00,54.26328,60.60577,-179.491,-165.41341,USA,2008 Eastern Bering Sea Slope Survey,2008,-629
1,10/3/2016 14:02,EBS_SLOPE,94,201001,6/3/2010 0:00,7/20/2010 0:00,54.27885,60.60875,-179.49085,-165.49793,USA,2010 Eastern Bering Sea Slope Survey,2010,-657
1,10/3/2016 14:02,EBS_SLOPE,94,201201,6/8/2012 0:00,7/25/2012 0:00,54.26365,60.60923,-179.49565,-165.42688,USA,2012 Eastern Bering Sea Slope Survey,2012,-680
1,10/3/2016 14:02,EBS_SLOPE,134,200401,6/6/2004 0:00,8/8/2004 0:00,54.20847,60.59806,-179.4809,-165.408,USA,2004 Bering Sea Slope Survey,2004,1225395
1,10/3/2016 14:02,EBS_SLOPE,178,201601,6/16/2016 0:00,8/9/2016 0:00,54.2701,60.58248,-179.4826,-165.39767,USA,2016 Eastern Bering Sea Slope Survey,2016,-708
1,9/24/2019 11:25,AI,1,198304,8/17/1983 0:00,9/4/1983 0:00,52.24983,54.74433,-165.21333,-174.4525,USA/JAPAN,AI TRIENNIAL SURVEY,1983,185
1,9/24/2019 11:25,AI,21,198303,7/28/1983 0:00,8/14/1983 0:00,51.20083,52.30867,-174.67217,177.322,USA,AI TRIENNIAL SURVEY,1983,261
1,9/24/2019 11:25,AI,23,199701,6/11/1997 8:47,8/11/1997 12:26,51.24741,54.52612,-165.5123,170.608,USA,AI TRIENNIAL SURVEY,1997,952492
1,9/24/2019 11:25,AI,23,200001,5/20/2000 7:48,7/22/2000 10:02,51.25256,54.62018,-165.26421,170.7222,USA,AI BIENNIAL SURVEY,2000,1039635
1,9/24/2019 11:25,AI,31,198002,7/30/1980 0:00,8/20/1980 0:00,52.30267,54.8725,-165.228,-170.89533,USA,AI TRIENNIAL SURVEY,1980,288
1,9/24/2019 11:25,AI,44,198001,7/3/1980 0:00,8/15/1980 0:00,51.23667,52.60333,-172.89,173.38333,USA/JAPAN,AI TRIENNIAL SURVEY,1980,312
1,9/24/2019 11:25,AI,57,200201,5/26/2002 0:00,6/4/2002 0:00,52.34052,53.82133,-167.2823,-172.7455,USA,AI BIENNIAL SURVEY,2002,1137515
1,9/24/2019 11:25,AI,66,198601,7/24/1986 0:00,9/24/1986 0:00,51.23183,54.41883,-165.59633,172.44833,USA,AI TRIENNIAL SURVEY,1986,317
1,9/24/2019 11:25,AI,83,199101,7/20/1991 0:00,9/20/1991 0:00,51.25167,54.6625,-165.14167,170.85783,USA,AI TRIENNIAL SURVEY,1991,321
1,9/24/2019 11:25,AI,85,199101,7/19/1991 0:00,9/19/1991 0:00,51.18633,54.89117,-165.10883,170.71683,USA,AI TRIENNIAL SURVEY,1991,322
1,9/24/2019 11:25,AI,94,199401,6/3/1994 0:00,8/5/1994 0:00,51.13733,54.891,-179.977,179.81333,USA,AI TRIENNIAL SURVEY,1994,827461
1,9/24/2019 11:25,AI,94,199701,6/10/1997 8:05,8/13/1997 12:07,51.19485,54.89222,-165.2124,170.6437,USA,AI TRIENNIAL SURVEY,1997,958199
1,9/24/2019 11:25,AI,94,200001,5/20/2000 7:49,7/20/2000 12:49,51.20246,54.89195,-165.2055,170.6133,USA,AI BIENNIAL SURVEY,2000,1039636
1,9/24/2019 11:25,AI,94,200201,5/17/2002 0:00,7/19/2002 0:00,51.24673,54.4257,-165.5137,170.60809,USA,AI BIENNIAL SURVEY,2002,1145916
1,9/24/2019 11:25,AI,95,199401,6/3/1994 0:00,8/7/1994 0:00,51.25283,54.68367,-179.8895,179.98667,USA,AI TRIENNIAL SURVEY,1994,827462
1,9/24/2019 11:25,AI,143,200201,6/12/2002 0:00,8/13/2002 0:00,51.01304,53.31805,-169.4612,170.72301,USA,AI BIENNIAL SURVEY,2002,1138955
