Species Code,Common Name,Scientific Name,In BS Region,In GOA Region,In WC Region,Taxonomically Classifiable,Species Taxonomic ID,Category of Code,Category Merge Mode,Merge In RACEBASE,Life Stage ID,From Length,To Length,Length Units,Is Organic,ITIS ID,Active,Size Class ID,Polycorder Species Code,Commonly Counted,Merge In Extract,Morphic Subcategory
1,fish eggs unid.,,Y,,,Y,7,Y,3,N,2,,,,Y,,Y,,,U,N,N
2,fish larvae unid.,,Y,Y,Y,Y,7,N,,N,,,,,Y,,Y,,,U,N,N
3,fish unid.,,Y,Y,Y,Y,7,N,,N,,,,,Y,,Y,,,Y,N,N
10,lamprey unid.,Petromyzontidae,Y,Y,Y,Y,777,N,,N,,,,,Y,,Y,,,Y,N,N
21,Pacific lamprey,Lampetra tridentata,Y,Y,Y,Y,1418,N,,N,,,,,Y,,Y,,,Y,N,N
100,hagfish unid.,Myxinidae,Y,Y,Y,Y,646,N,,N,,,,,Y,,Y,,,Y,N,N
109,,Eptatretus sp.,,Y,Y,Y,385,N,,N,,,,,Y,,Y,,,Y,N,N
110,black hagfish,Eptatretus deani,,,Y,Y,1829,N,,N,,,,,Y,,Y,,,Y,N,N
120,Pacific hagfish,Eptatretus stouti,,,Y,Y,1830,N,,N,,,,,Y,,Y,,,Y,N,N
150,shark unid.,Selachii,Y,Y,Y,Y,3825,N,,N,,,,,Y,,Y,,,Y,N,N
151,cartilaginous fish unid.,Chondrichthyes,,Y,,Y,2732,N,,N,,,,,Y,,Y,,,Y,N,N
160,shark egg case unid.,Selachii egg case,,,Y,Y,3825,Y,150,N,2,,,,Y,,Y,,,Y,N,N
180,thresher shark,Alopias vulpinus,,,Y,Y,1192,N,,N,,,,,Y,,Y,,,Y,N,N
200,cat shark unid.,Scyliorhinidae,,,Y,Y,904,N,,N,,,,,Y,,Y,,,Y,N,N
201,brown cat shark egg case,Apristurus brunneus egg case,,,Y,Y,1773,Y,210,N,2,,,,Y,,Y,,,Y,N,N
210,brown cat shark,Apristurus brunneus,,,Y,Y,1773,N,,N,,,,,Y,,Y,,,Y,N,N
211,filetail cat shark,Parmaturus xaniurus,,,Y,Y,1888,N,,N,,,,,Y,,Y,,,Y,N,N
212,longnose cat shark,Apristurus kampae,,,Y,Y,1772,N,,N,,,,,Y,,Y,,,Y,N,N
213,,Apristurus sp.,,Y,Y,Y,108,N,,N,,,,,Y,,Y,,,Y,N,N
214,swell shark,Cephaloscyllium ventriosum,,,Y,Y,2449,N,,N,,,,,Y,,Y,,,Y,N,N
222,sixgill shark,Hexanchus griseus,,,Y,Y,1651,N,,N,,,,,Y,,Y,,,Y,N,N
232,salmon shark,Lamna ditropis,Y,Y,,Y,1108,N,,N,,,,,Y,,Y,,147,Y,N,N
242,basking shark,Cetorhinus maximus,,Y,,Y,1804,N,,N,,,,,Y,,Y,,,Y,N,N
252,Pacific angel shark,Squatina californica,,,Y,Y,1566,N,,N,,,,,Y,,Y,,,Y,N,N
310,spiny dogfish,Squalus suckleyi,Y,Y,Y,Y,,N,,N,,,,,Y,,Y,,1,Y,N,N
311,combtooth dogfish,Centroscyllium nigrum,,,Y,Y,2565,N,,N,,,,,Y,,Y,,,Y,N,N
320,Pacific sleeper shark,Somniosus pacificus,Y,Y,Y,Y,1731,N,,N,,,,,Y,,Y,,121,Y,N,N
332,soupfin shark,Galeorhinus galeus,,,Y,Y,2031,N,,N,,,,,Y,,Y,,,Y,N,N
339,,Mustelus sp.,,,Y,Y,635,N,,N,,,,,Y,,Y,,,Y,N,N
340,brown smoothhound,Mustelus henlei,,,Y,Y,1441,N,,N,,,,,Y,,Y,,,Y,N,N
341,gray smoothhound,Mustelus californicus,,,Y,Y,1442,N,,N,,,,,Y,,Y,,,Y,N,N
351,blue shark,Prionace glauca,,,Y,Y,1489,N,,N,,,,,Y,,Y,,,Y,N,N
355,leopard shark,Triakis semifasciata,,,Y,Y,2498,N,,N,,,,,Y,,Y,,,Y,N,N
400,skate unid.,Rajidae,Y,Y,Y,Y,860,N,,N,,,,,Y,,Y,,,Y,N,N
401,skate egg case unid.,,Y,Y,Y,Y,860,Y,400,N,2,,,,Y,,Y,,,U,N,N
402,,Bathyraja sp. egg case,Y,Y,Y,Y,174,Y,405,N,2,,,,Y,,Y,,,Y,N,N
403,,Raja sp. egg case,,Y,,Y,859,Y,404,N,2,,,,Y,,Y,,,Y,N,N
404,,Raja sp.,Y,Y,Y,Y,859,N,,N,,,,,Y,,Y,,,Y,N,N
405,,Bathyraja sp.,Y,Y,,Y,174,N,,N,,,,,Y,,Y,,148,Y,N,N
406,white skate,Bathyraja spinosissima,,Y,Y,Y,2520,N,,N,,,,,Y,,Y,,,Y,N,N
410,deepsea skate,Bathyraja abyssicola,Y,Y,Y,Y,1608,N,,N,,,,,Y,,Y,,120,Y,N,N
411,deepsea skate egg case,Bathyraja abyssicola egg case,,Y,,Y,1608,Y,410,N,2,,,,Y,,Y,,,U,N,N
420,big skate,Raja binoculata,Y,Y,Y,Y,1075,N,,N,,,,,Y,,Y,,2,Y,N,N
421,,Raja binoculata egg case,,,Y,Y,1075,Y,420,N,2,,,,Y,,Y,,,Y,N,N
425,California skate,Raja inornata,,,Y,Y,1074,N,,N,,,,,Y,,Y,,,Y,N,N
435,Bering skate,Bathyraja interrupta,Y,Y,Y,Y,1609,N,,N,,,,,Y,,Y,,3,Y,N,N
436,,Bathyraja interrupta egg case,Y,,,Y,1609,Y,435,N,2,,,,Y,,Y,,,Y,N,N
440,longnose skate,Raja rhina,Y,Y,Y,Y,1073,N,,N,,,,,Y,,Y,,4,Y,N,N
441,longnose skate egg case,Raja rhina egg case,,Y,,Y,1073,Y,440,N,2,,,,Y,,Y,,,U,N,N
445,roughshoulder skate,Raja badia,Y,Y,Y,Y,1072,N,,N,,,,,Y,,Y,,118,Y,N,N
446,,Raja badia egg case,,Y,,Y,1072,Y,445,N,2,,,,Y,,Y,,,U,N,N
450,starry skate,Raja stellulata,Y,Y,Y,Y,1076,N,,N,,,,,Y,,Y,,,Y,N,N
455,mud skate,Bathyraja taranetzi,,Y,,Y,1607,N,,N,,,,,Y,,Y,,113,Y,N,N
456,mud skate egg case,Bathyraja taranetzi egg case,Y,,,Y,1607,Y,455,N,2,,,,Y,,Y,,,U,N,N
460,roughtail skate,Bathyraja trachura,Y,Y,Y,Y,1604,N,,N,,,,,Y,,Y,,119,Y,N,N
461,,Bathyraja trachura egg case,,,Y,Y,1604,Y,460,N,2,,,,Y,,Y,,,Y,N,N
471,Alaska skate,Bathyraja parmifera,Y,Y,Y,Y,2519,N,,N,,,,,Y,,Y,,5,Y,N,N
472,Aleutian skate,Bathyraja aleutica,Y,Y,,Y,1601,N,,N,,,,,Y,,Y,,6,Y,N,N
473,Aleutian skate egg case,Bathyraja aleutica egg case,Y,,,Y,1601,Y,472,N,2,,,,Y,,Y,,,U,N,N
474,Alaska skate egg case,Bathyraja parmifera egg case,Y,,,Y,2519,Y,471,N,2,,,,Y,,Y,,,U,N,N
475,Commander skate,Bathyraja lindbergi,Y,Y,,Y,1606,N,,N,,,,,Y,,Y,,115,Y,N,N
476,Commander skate egg case,Bathyraja lindbergi egg case,,Y,,Y,1606,Y,475,N,2,,,,Y,,Y,,,U,N,N
477,leopard skate,Bathyraja panthera,,Y,,Y,3572,N,,N,,,,,Y,,Y,,,U,N,N
478,leopard skate egg case,Bathyraja panthera egg case,,Y,,Y,3572,Y,477,N,2,,,,Y,,Y,,,U,N,N
480,whiteblotched skate,Bathyraja maculata,Y,Y,,Y,1602,N,,N,,,,,Y,,Y,,114,Y,N,N
481,whiteblotched skate egg case,Bathyraja maculata egg case,,Y,,Y,1602,Y,480,N,2,,,,Y,,Y,,,U,N,N
483,butterfly skate,Bathyraja mariposa,,Y,,Y,1603,N,,N,,,,,Y,,Y,,149,Y,N,N
484,Butterfly skate egg case,Bathyraja mariposa egg case,,Y,,Y,1603,Y,483,N,2,,,,Y,,Y,,,U,N,N
485,whitebrow skate,Bathyraja minispinosa,Y,Y,,Y,1610,N,,N,,,,,Y,,Y,,116,Y,N,N
486,whitebrow skate egg case,Bathyraja minispinosa egg case,Y,,,Y,1610,Y,485,N,2,,,,Y,,Y,,,U,N,N
490,golden skate,Bathyraja smirnovi,Y,Y,,Y,2518,N,,N,,,,,Y,,Y,,,Y,N,N
495,Okhotsk skate,Bathyraja violacea,Y,Y,,Y,1605,N,,N,,,,,Y,,Y,,117,Y,N,N
610,Pacific electric ray,Torpedo californica,,,Y,Y,1336,N,,N,,,,,Y,,Y,,,Y,N,N
710,spotted ratfish,Hydrolagus colliei,,Y,Y,Y,1855,N,,N,,,,,Y,,Y,,148,Y,N,N
711,,Hydrolagus colliei egg case,,,Y,Y,1855,Y,710,N,2,,,,Y,,Y,,,Y,N,N
10001,flatfish unid.,Pleuronectiformes,Y,Y,Y,Y,2,N,,N,,,,,Y,,Y,,,Y,N,N
10002,flatfish larvae,Pleuronectiform larvae,Y,,Y,Y,2,N,,N,,,,,Y,,Y,,,Y,N,N
10003,lefteye flounder unid.,Bothidae,,,Y,Y,195,N,,N,,,,,Y,,Y,,,Y,N,N
10008,sanddab unid.,Citharichthys sp.,Y,Y,Y,Y,276,N,,N,,,,,Y,,Y,,,Y,N,N
10009,longfin sanddab,Citharichthys xanthostigma,,,Y,Y,2327,N,,N,,,,,Y,,Y,,,Y,N,N
10010,Pacific sanddab,Citharichthys sordidus,Y,Y,Y,Y,2325,N,,N,,,,,Y,,Y,,7,Y,N,N
10020,speckled sanddab,Citharichthys stigmaeus,,Y,Y,Y,2326,N,,N,,,,,Y,,Y,,,Y,N,N
10041,bigmouth sole,Hippoglossina stomata,,,Y,Y,2353,N,,N,,,,,Y,,Y,,,Y,N,N
10050,California halibut,Paralichthys californicus,,,Y,Y,2268,N,,N,,,,,Y,,Y,,,Y,N,N
10060,fantail sole,Xystreurys liolepis,,,Y,Y,1931,N,,N,,,,,Y,,Y,,,Y,N,N
10100,righteye flounder unid.,Pleuronectidae,,Y,Y,Y,3,N,,N,,,,,Y,,Y,,,Y,N,N
10110,arrowtooth flounder,Atheresthes stomias,Y,Y,Y,Y,1957,N,,N,,,,,Y,,Y,,8,Y,N,N
10111,,Atheresthes sp.,Y,Y,,Y,149,N,,N,,,,,Y,,Y,,,Y,N,N
10112,Kamchatka flounder,Atheresthes evermanni,Y,Y,,Y,1958,N,,N,,,,,Y,,Y,,9,Y,N,N
10115,Greenland turbot,Reinhardtius hippoglossoides,Y,Y,,Y,2284,N,,N,,,,,Y,,Y,,10,Y,N,N
10116,Greenland turbot (juvenile),Reinhardtius hippoglossoides (juvenile),Y,Y,,Y,2284,Y,10115,Y,4,,,,Y,,Y,,153,Y,N,N
10120,Pacific halibut,Hippoglossus stenolepis,Y,Y,Y,Y,5,N,,N,,,,,Y,,Y,,11,Y,N,N
10122,hybrid sole,Parophrys vetulus X Platichthys stellatus hybrid,,,Y,Y,3,N,,N,,,,,Y,,Y,,,Y,N,N
10129,,Hippoglossoides sp.,Y,,,Y,482,N,,N,,,,,Y,,Y,,,Y,N,N
10130,flathead sole,Hippoglossoides elassodon,Y,Y,Y,Y,2458,N,,N,,,,,Y,,Y,,12,Y,N,N
10140,Bering flounder,Hippoglossoides robustus,Y,Y,,Y,2457,N,,N,,,,,Y,,Y,,13,Y,N,N
10141,Bering flounder (juvenile),Hippoglossoides robustus (juvenile),Y,Y,,Y,2457,Y,10140,Y,4,,,,Y,,Y,,154,Y,N,N
10145,diamond turbot,Hypsopsetta guttulata,,,Y,Y,2056,N,,N,,,,,Y,,Y,,,Y,N,N
10150,slender sole,Lyopsetta exilis,Y,Y,Y,Y,1676,N,,N,,,,,Y,,Y,,14,Y,N,N
10155,Arctic flounder,Liopsetta glacialis,Y,,,Y,1663,N,,N,,,,,Y,,Y,,,Y,N,N
10160,petrale sole,Eopsetta jordani,,Y,Y,Y,1389,N,,N,,,,,Y,,Y,,15,Y,N,N
10170,English sole,Parophrys vetulus,Y,Y,Y,Y,1697,N,,N,,,,,Y,,Y,,16,Y,N,N
10180,Dover sole,Microstomus pacificus,Y,Y,Y,Y,2079,N,,N,,,,,Y,,Y,,17,Y,N,N
10190,deepsea sole,Embassichthys bathybius,Y,Y,Y,Y,2332,N,,N,,,,,Y,,Y,,133,Y,N,N
10200,rex sole,Glyptocephalus zachirus,Y,Y,Y,Y,2415,N,,N,,,,,Y,,Y,,18,Y,N,N
10201,rex sole larvae,Glyptocephalus zachirus larvae,,Y,,Y,2415,N,,N,,,,,Y,,Y,,,Y,N,N
10209,yellowfin sole (juvenile),Limanda aspera (juvenile),N,N,N,Y,1260,Y,10210,Y,4,,,,Y,,Y,,,Y,N,N
10210,yellowfin sole,Limanda aspera,Y,Y,,Y,1260,N,,N,,,,,Y,,Y,,19,Y,N,N
10211,longhead dab,Limanda proboscidea,Y,,,Y,1261,N,,N,,,,,Y,,Y,,20,Y,N,N
10212,Sakhalin sole,Limanda sakhalinensis,Y,,,Y,1262,N,,N,,,,,Y,,Y,,21,Y,N,N
10220,starry flounder,Platichthys stellatus,Y,Y,Y,Y,2546,N,,N,,,,,Y,,Y,,22,Y,N,N
10221,hybrid starry flounder X Alaska plaice,Platichthys stellatus X Pleuronectes quadrituberculatus hybrid,,Y,,Y,3,N,,N,,,,,Y,,Y,,,Y,N,N
