Survey,Stratum,Area (km2),Perimeter (km),Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Summary Area Code,Summary Depth Code,Summary Area Depth Code,Stratum Regulatory Area Name,Stratum Type
AI,211,3693.321,,Western Aleutians,1,100,W Western Aleutians,299,991,291,ALEUTIANS,NEITHER
AI,212,4065.172,,Western Aleutians,101,200,W Western Aleutians,299,992,292,ALEUTIANS,NEITHER
AI,213,940.226,,Western Aleutians,201,300,W Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,214,1711.084,,Western Aleutians,301,500,W Western Aleutians,299,994,294,ALEUTIANS,NEITHER
AI,221,1183.328,,Western Aleutians,1,100,E Western Aleutians,299,991,291,ALEUTIANS,NEITHER
AI,222,1252.459,,Western Aleutians,101,200,E Western Aleutians,299,992,292,ALEUTIANS,NEITHER
AI,223,783.403,,Western Aleutians,201,300,E Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,224,1561.386,,Western Aleutians,301,500,E Western Aleutians,299,994,294,ALEUTIANS,NEITHER
AI,311,960.023,,Central Aleutians,1,100,Petrel Bank,3499,991,3491,ALEUTIANS,NORTH
AI,312,1735.544,,Central Aleutians,101,200,Petrel Bank,3499,992,3492,ALEUTIANS,NORTH
AI,313,766.43,,Central Aleutians,201,300,Petrel Bank,3499,993,3493,ALEUTIANS,NORTH
AI,314,1237.475,,Central Aleutians,301,500,Petrel Bank,3499,994,3494,ALEUTIANS,NORTH
AI,321,2105.636,,Central Aleutians,1,100,N Central Aleutians,3499,991,3491,ALEUTIANS,NORTH
AI,322,1066.049,,Central Aleutians,101,200,N Central Aleutians,3499,992,3492,ALEUTIANS,NORTH
AI,323,439.004,,Central Aleutians,201,300,N Central Aleutians,3499,993,3493,ALEUTIANS,NORTH
AI,324,1239.743,,Central Aleutians,301,500,N Central Aleutians,3499,994,3494,ALEUTIANS,NORTH
AI,411,1617.669,,Central Aleutians,1,100,SW Central Aleutians,3499,991,3491,ALEUTIANS,SOUTH
AI,412,1052.298,,Central Aleutians,101,200,SW Central Aleutians,3499,992,3492,ALEUTIANS,SOUTH
AI,413,426.035,,Central Aleutians,201,300,SW Central Aleutians,3499,993,3493,ALEUTIANS,SOUTH
AI,414,789.21,,Central Aleutians,301,500,SW Central Aleutians,3499,994,3494,ALEUTIANS,SOUTH
AI,421,1164.035,,Central Aleutians,1,100,SE Central Aleutians,3499,991,3491,ALEUTIANS,SOUTH
AI,422,751.791,,Central Aleutians,101,200,SE Central Aleutians,3499,992,3492,ALEUTIANS,SOUTH
AI,423,477.36,,Central Aleutians,201,300,SE Central Aleutians,3499,993,3493,ALEUTIANS,SOUTH
AI,424,714.304,,Central Aleutians,301,500,SE Central Aleutians,3499,994,3494,ALEUTIANS,SOUTH
AI,511,1932.476,,Eastern Aleutians,1,100,NW Eastern Aleutians,5699,991,5691,ALEUTIANS,NORTH
AI,512,1594.312,,Eastern Aleutians,101,200,NW Eastern Aleutians,5699,992,5692,ALEUTIANS,NORTH
AI,513,155.929,,Eastern Aleutians,201,300,NW Eastern Aleutians,5699,993,5693,ALEUTIANS,NORTH
AI,521,1268.056,,Eastern Aleutians,1,100,NE Eastern Aleutians,5699,991,5691,ALEUTIANS,NORTH
AI,522,2012.55,,Eastern Aleutians,101,200,NE Eastern Aleutians,5699,992,5692,ALEUTIANS,NORTH
AI,523,1968.564,,Eastern Aleutians,201,300,NE Eastern Aleutians,5699,993,5693,ALEUTIANS,NORTH
AI,594,2670.006,,Eastern Aleutians,301,500,Combined Eastern Aleutian Islands,5699,994,5694,ALEUTIANS,SOUTH
AI,611,1906.756,,Eastern Aleutians,1,100,SW Eastern Aleutians,5699,991,5691,ALEUTIANS,SOUTH
AI,612,2261.049,,Eastern Aleutians,101,200,SW Eastern Aleutians,5699,992,5692,ALEUTIANS,SOUTH
AI,613,716.376,,Eastern Aleutians,201,300,SW Eastern Aleutians,5699,993,5693,ALEUTIANS,SOUTH
AI,614,438.212,,Eastern Aleutians,301,500,SW Eastern Aleutians,5699,994,5694,ALEUTIANS,SOUTH
AI,621,1740.635,,Eastern Aleutians,1,100,SE Eastern Aleutians,5699,991,5691,ALEUTIANS,SOUTH
AI,622,1900.189,,Eastern Aleutians,101,200,SE Eastern Aleutians,5699,992,5692,ALEUTIANS,SOUTH
AI,623,2060.609,,Eastern Aleutians,201,300,SE Eastern Aleutians,5699,993,5693,ALEUTIANS,SOUTH
AI,624,2574.73,,Eastern Aleutians,301,500,SE Eastern Aleutians,5699,994,5694,ALEUTIANS,SOUTH
AI,711,1585.64,,Southern Bering Sea,1,100,W Southern Bering Sea,799,991,791,S BERING SEA,NORTH
AI,712,669.513,,Southern Bering Sea,101,200,W Southern Bering Sea,799,992,792,S BERING SEA,NORTH
