"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1980,1,1,58120.3013379055,0.452164288605429,26279.9247079872
1981,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1982,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1983,1,1,75894.599960456,0.240722256516626,18269.5193599076
1984,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1985,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1986,1,1,114113.147386395,0.25149568108121,28698.9637222618
1987,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1988,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1989,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1990,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1991,1,1,176971.659847338,0.263108462984531,46562.7414142543
1992,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1993,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1994,1,1,128026.495820336,0.280265861108371,35881.4560957738
1995,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1996,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1997,1,1,143725.770222294,0.254762501290853,36615.9367217858
1998,1,1,45134.8687045342,0.61684396848369,27841.1715286952
1999,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2000,1,1,241340.866644179,0.253896172740613,61275.5223668597
2001,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2002,1,1,285973.071637214,0.238824126805898,68297.269123758
2003,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2004,1,1,496207.938690234,0.219131952391824,108735.014397513
2005,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2006,1,1,341441.451334067,0.232073096067833,79239.3747369911
2007,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2008,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2009,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2010,1,1,502074.392901715,0.21969273779754,110302.097954615
2011,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2012,1,1,353172.806541107,0.224544446255964,79302.9922774375
2013,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2014,1,1,844352.366086397,0.220630085046841,186289.534339143
2015,1,1,45134.8687045342,0.61684396848369,27841.1715286952
2016,1,1,596776.857486093,0.212381870679821,126744.585371322
