"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,84743.890842281,0.127061064654237,10767.6489933626
1983,1,1,136951.328376,0.115305125080399,15791.1900483215
1984,1,1,153640.811502617,0.113455812031296,17431.4430301768
1985,1,1,244894.363546238,0.118213283144597,28949.7667384072
1986,1,1,249770.373008001,0.118725634687973,29654.1460616267
1987,1,1,468893.227566027,0.109376743667506,51286.0143589188
1988,1,1,366598.923093147,0.112851819157449,41371.3553722235
1989,1,1,451114.604955187,0.102905181203622,46422.030166514
1990,1,1,535285.81108438,0.112511266225194,60225.6843974836
1991,1,1,352349.548895784,0.131957862941023,46495.2934805211
1992,1,1,356625.11407449,0.123356466842237,43992.0140594389
1993,1,1,598130.287307366,0.106301884108637,63582.3764832133
1994,1,1,615308.688258365,0.11602081438891,71388.6151123073
1995,1,1,446588.01858749,0.119963498444281,53574.2610730547
1996,1,1,743570.942415102,0.112047617849266,83315.3527995464
1997,1,1,484015.333824516,0.116169003941217,56227.5792226695
1998,1,1,490409.524017992,0.109765856682453,53830.2215290691
1999,1,1,184805.126603081,0.124079896369408,22930.6009574457
2000,1,1,384605.155998621,0.112245566181303,43170.2234913136
2001,1,1,507646.876535461,0.108655094532586,55158.4193591326
2002,1,1,400926.600671629,0.106349743589224,42638.4411795271
2003,1,1,734311.798850791,0.0950341964912202,69784.7317778075
2004,1,1,739809.151868192,0.0981333415530475,72599.9441843516
2005,1,1,1110542.92043438,0.0938850500389237,104263.377655354
2006,1,1,847194.969871096,0.110187621444897,93350.3986301773
2007,1,1,692365.631556023,0.11123296616433,77013.8828682164
2008,1,1,707778.002550293,0.110365919364936,78114.5699577409
2009,1,1,452475.584190595,0.117513214836721,53171.8605333602
2010,1,1,699521.154616996,0.10467468451222,73222.1561691578
2011,1,1,746253.313262736,0.102051099481522,76155.9711101905
2012,1,1,466699.642777181,0.11140971325099,51994.8733761453
2013,1,1,525832.918532443,0.104958485872244,55190.6269509483
2014,1,1,636184.92551167,0.0969065273929115,61650.471911054
2015,1,1,642649.249064389,0.0953169686898663,61255.3783516364
2016,1,1,757133.140258702,0.0823495189570617,62349.5498867536
