"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,1685570.61805944,0.171047480467956,288312.607369882
1985,1,1,892908.252698943,0.342395822313129,305728.055433034
1986,1,1,915040.542065078,0.341097019501574,312117.601621502
1987,1,1,1505407.39176689,0.15059516943759,226707.081235736
1988,1,1,972425.93445076,0.339786253938735,330416.965499898
1989,1,1,1006221.94357141,0.328467153117257,330510.857209015
1990,1,1,2464266.18578116,0.15195226218831,374450.821563607
1991,1,1,1055409.44894142,0.322768957493515,340653.407563627
1992,1,1,1071578.64035879,0.331914891054082,355672.90767057
1993,1,1,1469247.99057601,0.140317500172131,206161.205170552
1994,1,1,1082258.25763579,0.335723017649786,363339.008129887
1995,1,1,1078075.62600279,0.350032320689505,377361.313248549
1996,1,1,1331842.21425254,0.125008629570643,166491.77000804
1997,1,1,1043863.38535039,0.40865094699809,426575.76096007
1998,1,1,1012116.43793713,0.458512102575502,464067.636009778
1999,1,1,1028158.74053979,0.144604983183157,148676.877385371
2000,1,1,936839.084350811,0.531537385513738,497964.997542915
2001,1,1,599609.324812962,0.243114595687416,145773.778572307
2002,1,1,888176.932052613,0.518791156152143,460778.337447238
2003,1,1,998069.535365629,0.134293229121448,134033.980791993
2004,1,1,890572.299104732,0.441680379986497,393348.311474026
2005,1,1,747107.993658427,0.132270335358412,98820.224870151
2006,1,1,922342.022033744,0.350029220476615,322846.658985296
2007,1,1,627791.220362184,0.126912842348918,79674.7681778606
2008,1,1,972051.29646647,0.323838067979391,314787.213824564
2009,1,1,1188749.70575457,0.120431120963198,143162.459608695
2010,1,1,1028323.22868537,0.426906205516187,438997.567602225
2011,1,1,1313476.94420335,0.128132469412077,168299.044376604
2012,1,1,1091014.58421718,0.531385395602736,579749.216442602
2013,1,1,1416377.16986304,0.162833490503105,230633.638437709
2014,1,1,1123592.08694403,0.576469679923946,647716.770725701
2015,1,1,1281687.14890363,0.127828458345038,163836.092324998
