"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,39018.875912648,0.198980156434517,7763.9820329977
1985,1,1,26989.6416548342,0.891416536439773,24059.012883703
1986,1,1,26989.6416548342,0.891416536439773,24059.012883703
1987,1,1,81633.1400021863,0.181651980003906,14828.8215153332
1988,1,1,26989.6416548342,0.891416536439773,24059.012883703
1989,1,1,26989.6416548342,0.891416536439773,24059.012883703
1990,1,1,82474.2729368899,0.221202842943897,18243.543643371
1991,1,1,26989.6416548342,0.891416536439773,24059.012883703
1992,1,1,26989.6416548342,0.891416536439773,24059.012883703
1993,1,1,87765.5713644792,0.203691403921005,17877.0924471599
1994,1,1,26989.6416548342,0.891416536439773,24059.012883703
1995,1,1,26989.6416548342,0.891416536439773,24059.012883703
1996,1,1,139621.549506252,0.215283839457275,30058.26324868
1997,1,1,26989.6416548342,0.891416536439773,24059.012883703
1998,1,1,26989.6416548342,0.891416536439773,24059.012883703
1999,1,1,85480.7461599084,0.226959853292802,19400.6976078121
2000,1,1,26989.6416548342,0.891416536439773,24059.012883703
2001,1,1,126335.796284546,0.238978960779498,30191.5973053312
2002,1,1,26989.6416548342,0.891416536439773,24059.012883703
2003,1,1,77634.1170028018,0.219507833191248,17041.2968050008
2004,1,1,26989.6416548342,0.891416536439773,24059.012883703
2005,1,1,163721.329503535,0.206103632853273,33743.5607862464
2006,1,1,26989.6416548342,0.891416536439773,24059.012883703
2007,1,1,140754.762495024,0.21042736988871,29618.654471138
2008,1,1,26989.6416548342,0.891416536439773,24059.012883703
2009,1,1,73469.5913444733,0.215383564168971,15824.1424418105
2010,1,1,26989.6416548342,0.891416536439773,24059.012883703
2011,1,1,101857.115796878,0.257771144409928,26255.8253052559
2012,1,1,26989.6416548342,0.891416536439773,24059.012883703
2013,1,1,165182.061607537,0.259148934389635,42806.7552458763
2014,1,1,26989.6416548342,0.891416536439773,24059.012883703
2015,1,1,76170.9586803255,0.250398901260575,19073.1243615182
