"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1984,1,1,40060.7566368511,0.199880505078715,8007.36427040927
1985,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1986,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1987,1,1,82839.2859149722,0.182058111288659,15081.5639341811
1988,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1989,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1990,1,1,83734.061450248,0.220638396187403,18474.9490246402
1991,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1992,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1993,1,1,89188.3460484354,0.204741515290474,18260.5571162078
1994,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1995,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1996,1,1,129699.664063836,0.214789388320407,27858.1115096335
1997,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1998,1,1,21535.0257522502,0.778398741327823,16762.8369400138
1999,1,1,83353.0404113187,0.227165251624841,18934.9143987327
2000,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2001,1,1,124868.98477618,0.239392864542759,29892.7439581159
2002,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2003,1,1,75846.6323609099,0.220137684043564,16696.7019904343
2004,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2005,1,1,156683.973659878,0.205948980588704,32268.9046498392
2006,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2007,1,1,134135.156537086,0.210443221534868,28227.8344627481
2008,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2009,1,1,71335.4552749034,0.216096250435814,15415.3244080383
2010,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2011,1,1,110729.145519165,0.260382988631295,28831.9858388699
2012,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2013,1,1,159815.031862503,0.259386170384479,41453.8090846882
2014,1,1,21535.0257522502,0.778398741327823,16762.8369400138
2015,1,1,73440.8893309491,0.250784682920035,18417.8501442274
